ORGID,Industry,Region,Size,SecurityBudget,PrimarySecurityTeam,Maturity,Complexity,ExerciseFrequency,Threats,TTPs,Aims,Sector,Country,DataAtRisk,AttackPatterns,ActorMotivation
135,Web Shell,Europe,Medium,High,Hybrid,4,5,60,Web Shell;Ransomware;Data Breach,Registry Run Keys / Startup Folder;Windows Management Instrumentation Event Subscription;File Transfer Protocols;DNS Server;Clear Command History,Akira;Mispadu;Search Engines,Education,GB,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
136,Web Shell,Oceania,Small,High,Outsourced,1,4,120,Web Shell;Ransomware,Clear Command History;Dynamic Data Exchange;Impact;Gather Victim Identity Information;Credential Access;Vulnerability Scanning;File Transfer Protocols;Windows Management Instrumentation Event Subscription;Domain Groups,Play;P.A.S. Webshell;Insider Threat;Network Trust Dependencies,Technology,AU,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
137,Ransomware,North America,Small,Low,In-house,2,4,150,Ransomware;DDoS,Botnet;Bandwidth Hijacking;Timestomp;Relocate Malware,Code Signing;RTM;Meteor,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
138,DDoS,Oceania,Large,High,Hybrid,2,4,240,DDoS;Banking Trojan,Collection;Multi-Factor Authentication Request Generation;Outlook Home Page;Privilege Escalation;Resource Development;Disable or Modify Cloud Firewall;Develop Capabilities;Command Obfuscation;Multi-Factor Authentication;Discovery;Transmitted Data Manipulation,Akira;Modify Cloud Compute Configurations;Supply Chain,Technology,AU,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
139,Insider Threat,Europe,Medium,Medium,In-house,4,1,240,Insider Threat;DDoS,Impact;Malicious Link;Data from Network Shared Drive;Scheduled Transfer;Reflection Amplification;Command Obfuscation;Binary Padding;VNC;Disk Wipe;Cloud Accounts;Archive via Custom Method,Web Portal Capture;SideCopy;Penquin,Manufacturing,NL,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering,Espionage;Financial;Fun
140,Ransomware,Oceania,Small,High,Hybrid,2,1,150,Ransomware,Initial Access;Lateral Movement;Resource Development;Execution;Domain Groups,Web Shell;Poseidon Group;Remote Service Session Hijacking;PowerSploit,Healthcare,AU,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
141,Remote Access Trojan,North America,Medium,Medium,In-house,3,5,150,Remote Access Trojan,Command And Control;Discovery;Browser Information Discovery;DNS,ShimRat;Code Signing;Crypto Miner;SilverTerrier,Government,US,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
142,Web Shell,Europe,Medium,High,In-house,2,4,270,Web Shell;Remote Access Trojan,Remote Email Collection;Search Victim-Owned Websites;System Network Configuration Discovery;Ingress Tool Transfer;Reconnaissance;Execution;Clear Command History;Network Devices;Databases,Data Breach;Remote Service Session Hijacking;DarkTortilla;LAPSUS$,Government,GB,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
143,Web Shell,Asia,Large,High,In-house,2,5,150,Web Shell;Ransomware,Dynamic Data Exchange;Resource Development;Discovery;Windows File and Directory Permissions Modification;Lateral Movement;Credential Access;Domain Groups;Command Obfuscation,DDoS;Replication Through Removable Media;DarkTortilla,Education,IN,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
144,Banking Trojan,Oceania,Medium,High,In-house,3,1,210,Banking Trojan;Supply Chain;Remote Access Trojan,Defense Evasion;Data Encoding;Hijack Execution Flow;Virtual Private Server;Multi-Factor Authentication Request Generation;Outlook Home Page,LAPSUS$;Code Signing;WINERACK,Hospitality,NZ,Bank;Credentials;Internal;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Financial;Ideology;Unknown
145,Data Breach,Middle East,Small,Low,In-house,3,1,210,Data Breach,Code Signing;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Exfiltration Over Bluetooth;Privilege Escalation;Reconnaissance;Archive via Custom Method;Collection;Registry Run Keys / Startup Folder,RTM;Replication Through Removable Media;Pacu;Insider Threat,Government,TR,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
146,Web Shell,North America,Large,High,Outsourced,1,5,180,Web Shell;Banking Trojan;DDoS,Resource Development;Reconnaissance;Timestomp;Outlook Home Page;Spearphishing Voice;Command And Control;Vulnerability Scanning;Clear Command History;Code Repositories;Delete Cloud Instance,Resource Hijacking;Meteor;Data Breach;LAPSUS$,Other Services,US,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
147,Data Breach,Oceania,Large,Low,In-house,3,4,150,Data Breach;Ransomware,Replication Through Removable Media;Discovery;Silver Ticket;Disable or Modify Network Device Firewall;Acquire Infrastructure;Local Data Staging;Windows File and Directory Permissions Modification;Registry Run Keys / Startup Folder;Command Obfuscation,Chaos;Carbanak;Data Breach,Healthcare,AU,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
148,Ransomware,Middle East,Medium,Low,In-house,3,4,240,Ransomware;Phishing;Insider Threat,Command and Scripting Interpreter;Windows Management Instrumentation Event Subscription;Reconnaissance,Pacu;DDoS;Data Encrypted for Impact;Aquatic Panda,Healthcare,IL,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
149,DDoS,Asia,Medium,Medium,Hybrid,5,2,210,DDoS,Botnet;Disable or Modify Cloud Firewall;Credential Access;Timestomp;Command Obfuscation;Bandwidth Hijacking;Persistence;Impact,Sandworm Team;Data Breach;PowerSploit,Technology,IN,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
150,Ransomware,South America,Medium,High,Outsourced,1,4,30,Ransomware;Phishing,Command Obfuscation;Web Protocols;System Owner/User Discovery,Crypto Miner;DarkVishnya;Modify Cloud Compute Configurations;Zeus Panda,Healthcare,AR,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
